it-codigo;Custo
80.0087.00139;258,78
1000400185;4,13
1515500016;34,61
1000100165;3,79
1000400091;4,25
1515500018;28,81
15.0087.00013;73,00
15.0087.00014;666,32
15.0087.00015;1351,10
15.0087.00016;1268,35
15.0087.00017;1245,97
1000400154;5,39
1000400092;4,47
1000100431;2,61
1000100414;2,56
1000100430;2,64
1000100416;2,50
1000400156;9,83
1000400157;6,43
1000400158;9,57
1000400061;5,16
1212300002;2,65
70.0195.02091;284,47
1000400166;9,80
70.0195.00639;210,00
70.0195.02917;400,00
80.0067.00054;5,19
2020400052;64,21
1212400001;5,57
1212400009;7,00
1212400012;7,00
1212400013;3,60
1001000110;5,53
1001000111;5,50
1000400186;4,33
2020600221;80,00
2020600222;80,00
70.0487.00336;56,64
1000400167;4,00
1000400163;3,84
1000400018;16,43
1212400092;3,44
80.0087.00026;4,00
80.0087.00030;4,71
70.0077.00498;23,35
70.0077.00495;22,05
70.0067.00001;3,39
1000400110;5,57
1000400112;5,57
1000400111;12,65
70.0067.00052;7,85
80.0087.00109;4,64
70.0077.00413;12,80
70.0077.00414;18,00
70.0077.00499;13,10
70.0107.00076;83,70
80.0067.00029;50,77
70.0015.00405;7,00
70.0015.00406;10,00
80.0087.00182;60,00
70.0499.00038;90,00
70.0553.00003;15,12
70.0553.00012;65,00
70.0553.00013;55,00
15.0131.00022;35,71
15.0131.00140;36,27
1212400022;3,28
1212400091;3,09
1000400115;4,26
1000100093;2,21
1000100205;2,22
1212100004;3,00
1212100005;3,00
1212100006;3,00
70.0499.00055;6,79
1212400089;3,26
1212400090;3,48
70.0087.00063;12,89
1000100083;3,93
1515500115;66,22
1515500148;51,99
1515500149;20,56
70.0499.00053;7,78
70.0499.00058;7,97
70.0499.00059;4,80
70.0499.00064;21,00
70.0049.00317;9,88
1000400096;30,95
70.0049.00312;11,87
70.0049.00313;11,92
2020600244;74,32
80.0087.00113;7,90
80.0087.00121;6,13
80.0087.00120;2,65
80.0087.00118;2,65
80.0553.00014;2000,00
80.0553.00015;3000,00
70.0077.00073;69,23
80.0087.00112;15,53
70.0499.00123;21,00
15.0499.00018;48,70
70.0499.00155;21,00
70.0499.00161;8,50
2020400003;9,76
1000400196;6,21
15.0499.00020;51,75
15.0499.00021;39,70
70.0499.00160;12,75
70.0499.00163;8,50
70.0499.00047;5,86
70.0499.00046;28,76
1000400159;3,89
15.0499.00019;11,74
15.0499.00022;13,73
15.0499.00023;43,90
70.0499.00131;8,50
70.0499.00049;11,57
70.0499.00150;8,50
70.0499.00141;21,00
15.0499.00017;193,10
1000400169;3,86
1000400187;3,19
2020400023;8,81
2020600250;25,00
2020600251;37,00
2020600252;18,40
15.0499.00048;16,39
1000400192;3,19
80.0191.00001;2400,00
1000400126;6,36
